Country,Date,News_Count,Avg_Tone
Australia,2020-01-24,427,-4.1681005619124782
Belgium,2020-01-24,13,-3.7175765546168558
United States,2020-05-31,354,-2.8022197872481898
Singapore,2020-01-25,507,-3.7275821393878616
Japan,2020-01-23,978,-3.9166723946796549
Fiji,2020-01-23,33,-1.4933443624118963
United Kingdom,2020-01-23,1669,-2.7381248218214207
Singapore,2020-01-23,418,-3.7815389427321646
Taiwan,2020-01-23,498,-3.9929371338939803
India,2020-01-25,888,-2.925692086178409
Taiwan,2020-01-25,327,-4.2861003703350651
"Vietnam, Republic of",2020-01-25,283,-3.4396123288025469
United States,2020-01-26,2210,-4.0014287262851589
Malaysia,2020-01-24,150,-2.4234675929252756
Malaysia,2020-01-26,559,-2.835211989769221
India,2020-01-22,289,-2.272221172658782
Australia,2020-01-22,541,-3.6743177583906754
Macau,2020-01-22,263,-3.8563647023640568
Sudan,2020-05-31,13,-0.68649885583524
Thailand,2020-01-25,462,-3.736572381197977
"Bahamas, The",2020-01-23,5,-3.1653827174463074
Canada,2020-01-25,447,-1.9472153245742461
India,2020-01-24,1072,-3.8016876792985315
Japan,2020-01-24,1039,-3.9238984053042913
South Korea,2020-01-26,488,-4.262364995334238
Iran,2020-01-22,19,-3.8740902422465249
Japan,2020-01-22,984,-3.93254775031921
Turkey,2020-01-22,39,-3.9223484256662586
United Kingdom,2020-05-31,54,-1.4424032730590417
Canada,2020-01-23,602,-3.6432380459595413
South Korea,2020-01-25,452,-4.008646396725454
Nigeria,2020-01-23,135,-2.93432059406536
Italy,2020-01-23,41,-1.9175732333585869
United Arab Emirates,2020-01-26,75,-2.8522374446248207
Philippines,2020-01-26,119,-3.32385724652973
Ireland,2020-01-22,12,-2.7374022445518209
Afghanistan,2020-05-31,23,-2.605096836973849
Mauritius,2020-01-25,1,1.66666666666667
Marshall Islands,2020-01-25,10,-4.15841584158416
India,2020-05-31,59,-2.3339034209540155
Iran,2020-01-25,38,-2.8649952045518154
Iran,2020-01-24,23,-3.3252159315617731
Ghana,2020-01-25,24,-3.4871425403130503
Barbados,2020-01-23,3,-2.4994682173711724
Sri Lanka,2020-01-25,59,-1.6623721699991989
Italy,2020-01-24,32,-2.8963206610188434
Jersey,2020-01-24,35,-3.38407521875055
Saudi Arabia,2020-01-22,54,-4.17546035353776
Portugal,2020-01-22,24,-2.832657353734116
Latvia,2020-01-24,5,-3.3692793607818912
Congo,2020-01-26,8,-5.7359235765862016
Mexico,2020-01-22,94,-3.0618429515250636
Finland,2020-05-31,3,-2.8600618229454
Samoa,2020-01-23,12,-4.1459325590943905
Greece,2020-05-31,28,-2.5081607868154507
Kuwait,2020-01-24,24,-4.1001562041430359
Indonesia,2020-01-26,70,-2.3860660897765009
Nigeria,2020-01-26,76,-3.939186571794342
Brazil,2020-01-24,28,-3.2889887202180739
North Korea,2020-01-26,26,-5.3727339385961717
Luxembourg,2020-01-24,8,-2.9306103504293337
Singapore,2020-05-31,6,-2.9081470566160732
Netherlands,2020-01-24,9,-4.1840681718903721
Iran,2020-01-26,23,-2.7986895841342037
Chile,2020-01-24,4,-3.259551555847072
Philippines,2020-05-31,5,-1.2715804981354459
Honduras,2020-01-23,1,-3.8560411311054
Switzerland,2020-01-26,47,-2.1367238182950361
Sri Lanka,2020-01-26,106,-2.4152229458548611
Somalia,2020-01-22,1,-6.00706713780919
Austria,2020-05-31,6,-2.8785177695589343
Japan,2020-01-25,578,-4.1616714624420972
Croatia,2020-01-26,2,-2.54237288135593
Afghanistan,2020-01-26,40,-4.54038381553705
Syria,2020-01-25,4,-5.25090962207527
Trinidad and Tobago,2020-01-22,5,-3.88280160194393
Armenia,2020-01-22,13,-3.8787236275375383
Algeria,2020-01-25,1,-5.26315789473684
Uzbekistan,2020-01-24,6,-1.8230855982711756
Estonia,2020-01-24,4,-3.4916289719172853
Nigeria,2020-01-24,42,-3.5650029608461238
Czech Republic,2020-01-26,20,-4.7390967086498188
Poland,2020-01-22,3,-2.3708216428496667
Turkey,2020-01-25,16,-4.7743263624302017
Nepal,2020-01-23,12,-7.3844798381978913
Germany,2020-05-31,11,-4.3714979025826564
Indonesia,2020-01-23,92,-3.5732783349329851
Ukraine,2020-01-23,16,-2.3837754693094717
Morocco,2020-01-25,3,-2.8714028603623767
Azerbaijan,2020-01-22,3,-1.0405647627622363
Ukraine,2020-01-22,11,-0.71877052445717082
Argentina,2020-01-26,2,-3.16455696202532
Poland,2020-01-23,2,-4.19481981981982
Malta,2020-05-31,2,-2.6469734130972298
Mexico,2020-01-26,20,-2.7525863197132745
Guinea,2020-01-25,4,-1.6845427336990073
Uzbekistan,2020-01-22,7,-5.4096520763187392
Liechtenstein,2020-01-22,1,-0.055456965394854008
Netherlands,2020-05-31,3,2.3973341967513897
Iraq,2020-01-26,19,-4.9670729252123405
New Zealand,2020-01-22,51,-2.5284178324057649
Libya,2020-01-25,7,-5.7807432296658527
Croatia,2020-01-24,5,-2.2168839064608452
Germany,2020-01-25,18,-2.924273156260726
Marshall Islands,2020-01-23,3,-5.47886942736728
Guam,2020-01-24,2,-2.85714285714286
Sweden,2020-01-24,6,-4.3413048187768535
Venezuela,2020-01-24,4,-3.0960969293377731
Guyana,2020-01-22,1,-6.1264884469619778
Iran,2020-05-31,6,-4.2760099186850162
Burundi,2020-01-26,1,-6.22009569377991
Denmark,2020-05-31,2,3.57541899441341
Singapore,2020-01-22,192,-4.1500690811637773
Gabon,2020-01-23,2,-4.12147505422994
Cook Islands,2020-01-26,2,-4.31654676258993
Jersey,2020-01-25,17,-4.23443911458933
Hong Kong,2020-01-26,920,-4.6934836510408582
Colombia,2020-01-26,2,-4.3780397586518163
Serbia,2020-05-31,9,-3.488657497539744
"Vietnam, Republic of",2020-01-26,239,-4.1937223296252624
Poland,2020-01-26,4,0.44631626235399829
Ethiopia,2020-01-26,13,-4.9999039146577742
Liberia,2020-01-22,2,-3.3408290536821896
Mongolia,2020-01-26,1,-2.9657395639588664
Hong Kong,2020-01-22,821,-4.0374440992319114
Honduras,2020-01-22,2,1.40028971511347
Malawi,2020-01-25,6,-6.3758389261745
Ethiopia,2020-01-22,2,-3.2015065913371
Portugal,2020-01-24,3,-6.4813820158110635
Cyprus,2020-01-25,3,-1.25
Jamaica,2020-01-26,4,-1.68181818181818
Maldives,2020-01-22,3,-3.7037037037037
Guernsey,2020-01-23,3,-2.0979020979021
Fiji,2020-01-24,1,-1.09090909090909
Lithuania,2020-05-31,7,-3.4349408302881113
Canada,2020-01-24,840,-3.802723788874542
West Bank,2020-01-25,3,-4.51895043731778
Belgium,2020-01-26,1,-6.99346405228758
Spain,2020-01-25,19,-5.5577111847455685
Madagascar,2020-01-22,1,-3.50877192982456
Philippines,2020-01-25,187,-3.2231625853067114
New Caledonia,2020-01-22,2,-4.40251572327044
Greece,2020-01-25,1,-0.505050505050505
Guyana,2020-01-24,1,-3.89105058365759
Palau,2020-01-26,1,-2.28571428571429
Tanzania,2020-01-22,1,-6.00706713780919
Guatemala,2020-01-23,3,-2.3284954552712636
Cambodia,2020-01-22,5,-6.2966348781757366
Switzerland,2020-01-24,204,-3.9778184187053642
Jamaica,2020-05-31,1,-4.14414414414414
Barbados,2020-01-24,2,-5.0580997949419
Seychelles,2020-01-23,2,5.2327241650936394
Norway,2020-05-31,2,-2.6469734130972298
Spain,2020-01-23,35,-6.2852817181532208
Russia,2020-05-31,17,-3.22735063651452
Germany,2020-01-24,119,-2.7716373666831733
China,2020-01-22,15326,-4.0437444771941262
Austria,2020-01-22,1,0.200400801603207
Liechtenstein,2020-01-24,1,-1.01317122593718
Bosnia-Herzegovina,2020-01-22,2,-3.72250423011844
Fiji,2020-01-25,7,-1.3259285092291702
Jamaica,2020-01-25,3,-5.27859237536657
Marshall Islands,2020-01-26,6,-4.15754923413567
Nepal,2020-01-24,125,-4.6294445301453067
Virgin Islands,2020-01-26,1,-3.99201596806387
United Kingdom,2020-01-24,1936,-3.6355946981515612
Cuba,2020-01-26,1,-5.0561797752809
Samoa,2020-01-25,1,-4.15841584158416
Guadeloupe,2020-01-23,1,2.94117647058824
Austria,2020-01-25,2,-3.96825396825397
Serbia,2020-01-24,1,-2.82087447108604
Singapore,2020-01-24,632,-3.7075197503821147
France,2020-01-24,364,-3.3480524998732295
Colombia,2020-01-22,2,-5.42168674698795
Moldova,2020-01-23,1,-5.33049040511727
Bulgaria,2020-01-26,2,-3.34573972486709
Egypt,2020-01-22,6,-4.636297193524852
Kyrgyzstan,2020-01-24,17,0.32532185245910172
Uganda,2020-01-23,4,-5.8258537088620672
Samoa,2020-01-24,7,-1.71428571428572
Cuba,2020-01-23,1,-1.01180438448567
Gibraltar,2020-01-25,1,-2.4390243902439
"Bahamas, The",2020-01-22,1,-3.58306188925081
Belgium,2020-01-23,12,-4.4788829104493262
Angola,2020-01-26,1,-4.44444444444444
Grenada,2020-01-23,1,-3.77358490566038
Ghana,2020-01-24,27,-4.52018002796311
"Bahamas, The",2020-01-24,14,-3.3557672774298379
Taiwan,2020-01-26,330,-3.5344474142894953
Iceland,2020-01-22,1,0.200400801603207
Trinidad and Tobago,2020-01-24,8,-2.2912983576239929
Spain,2020-01-26,13,-5.1613730153324529
"Bahamas, The",2020-01-25,11,-2.4272722162379332
China,2020-01-26,16155,-3.9242537769201045
Liechtenstein,2020-05-31,1,-3.90772128060264
Belarus,2020-01-25,1,-5.1948051948052
Thailand,2020-01-24,735,-4.0913994186864526
Bermuda,2020-01-23,3,-3.23886639676113
Portugal,2020-01-25,1,-3.98009950248756
Argentina,2020-01-25,4,-3.8225707073718502
Somalia,2020-01-26,2,-4.2648164902784629
Hungary,2020-01-24,9,-2.49520153550864
Turkey,2020-01-26,8,-2.523765980920508
Antarctica,2020-01-24,1,-2.07305034550839
Guinea,2020-01-23,1,-5.9393173198482945
Gambia,2020-01-24,5,-5.2135003799123059
Libya,2020-01-24,23,-3.8873324606690227
Kenya,2020-01-25,6,-5.1717288138553066
Zambia,2020-01-26,1,-2.9657395639588664
Jersey,2020-01-26,4,-2.9806918744971833
Bulgaria,2020-01-24,1,-4.21455938697318
Zimbabwe,2020-01-25,5,-3.7400729048835939
Laos,2020-01-25,4,-3.4947243078594719
Venezuela,2020-01-25,1,-4.07643312101911
Afghanistan,2020-01-25,13,-2.6040911358935741
Guam,2020-01-25,2,2.51346499102334
Malaysia,2020-01-22,125,-3.11998582288298
Liberia,2020-01-24,14,-5.7209803557839738
Martinique,2020-01-22,1,0
Ukraine,2020-01-26,36,-2.0612111121633139
Cote d'Ivoire,2020-01-26,5,-3.2097984486768616
Indonesia,2020-01-22,50,-3.1859748098706611
